text,location,retweets,user_id,created_at
@KarlRove Cheney should be in jail for war crimes. Rove is just mad because he buddy Jeb Bush is not going to be president.,Iowa,0,26034637,Thu Feb 18 23:59:57 +0000 2016
JEB BUSH NOTHING BUT ATTACK ADS AND HE SUPPORTS COMMON CORE AND ILLEGALS HELL SO DOES HILLARY,,0,3476754372,Thu Feb 18 23:59:21 +0000 2016
Leaked art for Jeb Bush's follow up mixtape 🔥🔥🔥 @Wu_Tang_Finance https://t.co/BnpWbblvYu,D.C.,0,15863265,Thu Feb 18 23:59:09 +0000 2016
Why Jeb Bush Can Never Be President https://t.co/YauHDD7YDr via @theblacksphere,"ÜT: 41.118642,-95.930759",0,145676421,Thu Feb 18 23:58:58 +0000 2016
@marklevinshow Polls show Trump not accumulating the drop out's votes. NBC WSJ poll tracks Jeb Bush private poll. Time for a positive push.,,0,4818667084,Thu Feb 18 23:58:58 +0000 2016
Why Jeb Bush Can Never Be President https://t.co/kPueuCARpE,"Cumberland Mountains, KY",0,606663661,Thu Feb 18 23:58:46 +0000 2016
"Jeb Bush's gun tweet backfires on him in epic fashion: Immediately, the image spread across Twitter and the in... https://t.co/WhjeUpNCQC","Arlington Heights, IL",0,38522995,Thu Feb 18 23:58:40 +0000 2016
"Cuomo says Jeb Bush's pro-gun tweet plays to unfounded fears: Under Bush's Twitter handle, a picture was poste... https://t.co/dQCOuvwXRa","Arlington Heights, IL",0,38522995,Thu Feb 18 23:58:40 +0000 2016
BACKFIRE — Jeb Bush’s Firearm Tweet Ignites Social Media … But He’s Sticking To His Guns!: “The purpose [of th... https://t.co/RzITWiwh4w,"Arlington Heights, IL",0,38522995,Thu Feb 18 23:58:39 +0000 2016
@Kretc_h Jeb Bush's domain name apparently goes to Trump's website. Basically they're all Luddites.,Philadelphia,0,2657407832,Thu Feb 18 23:58:05 +0000 2016
@Gawker Jeb Bush?,"New York, NY",0,23099025,Thu Feb 18 23:57:47 +0000 2016
"https://t.co/ZecfYnrr2n

Jeb! meeting with @GOP for exit strategy from campaign after expected drubbing in SC",Texas,0,3550037417,Thu Feb 18 23:57:44 +0000 2016
"Nathan Barksdale, Baltimore Drug Lord &amp; Inspiration Behind HBO’s Hit Series The Wire, Dies https://t.co/Cwgj7E6hPZ",Detroit Mi.,0,289474168,Thu Feb 18 23:57:38 +0000 2016
